text,Ground truth,TextBlob,BERT
"Has potential, but the game itself is just slow. Slow progression, slow game play, not much to do. No explanation as of power compared to the level you're about to enter, so you have to find out but trial and error, which results in losing energy. Un-installed, I'll try back in 6 months to a year, and it will probably be better.",Negative,Negative,Negative
Game balance is terrible. Half the skills are useless. Game variety relies on randomness of which skill selections are available. If you get too many useless skills you know you're going to lose and it's just faster to restart. either allow more focused skill paths/selections or strengthen the weak skills no one plays with unless they are forced to because of bad luck. Game quickly becomes boring....,Negative,Negative,Negative
"This game is a bait and switch just like every other game. There is no side-to-side game play in which you try to pick the correct number to strengthen or weaken your character. Your character stands in one place, and you periodically choose additional skills, but it's nothing like the ads. No big surprise. It's less about game play and more about spending money and world building. Do not waste your time.",Negative,Negative,Negative
"I love the grind,but in my opinion,you need to double or even triple the gold earnings per attempt for sure. The grind gets to be too much after a while,and the game gets to be boring.You need more descriptions of the weakness of enemies. Some levels seems like it never gives you the skills you actually need to beat the levels. Need to boost stamina to 60 or more.How about more $1 options in the store?I be willing to give this game 5 stars if these things are changed. Other than that fun game.",Neutral,Positive,Neutral
enjoyable slow build up game with lots of little things to keep busy. downside is the math they have after the elite kill and the random pick between one and 4 skills to upgrade is really the problem with the game. it could be one both elite kills and sometimes you get 2 or 4. but they need to change it to 2 of your personal choice. I noticed the math is skewed in their favor. as if you don't level your gun it always put one gun skill in and picks that one skill. I have photos to prove it.,Positive,Negative,Positive
game seems poorly balanced. can complete a level perfect all the way to failing miserably because of random skill upgrades. primary damage source is gun and I have gone up to 2/3 of the way through a level and not gotten a single gun skill. would be better if you could strategize by setting up skills in combos and progression levels. graphics are decent but overall not a lot of fun to play and seems very grinding,Negative,Neutral,Negative
Pretty fun so far. But winning is dependent on what they give you and it's bad. I beat a level 3 times easy right away and haven't been able to beat it again since. I've gotten a lot more powerful since I beat it last. It's easy to mess up you're setup and you have to buy I've thoroughly went through everything. It's a joke,Positive,Positive,Neutral
"As much as I want to rate this higher, I can't. After Stage 7 especially, I feel like the developers are pushing more towards the P2W strats. EDIT: Game may disconnect from servers and force log you from your account. Ensure you account is still linked, or it will wipe all of your saved progress and items you've paid for and reset you back at level 1 with nothing!!",Negative,Neutral,Negative
"It is not fun to play simply because you have to grind the same level over and over just to achieve enough gear, damage to simply move to the next level. The mechanic for killing monsters to get upgrades in current level needs to be accelerated or streamlined to be relevant. Gun upgrades that do not do much at all to the point of asking why is this even an option. Accesory upgrades that are so minimal it lacks impact on the current level.",Negative,Neutral,Negative
"There's no way to disable the CONSTANT banner pop-ups at the top of the screen telling you about other players' loot gains. Who cares?? Also, when you launch the app, the game is frozen for a good 30/45 seconds before you can click on anything. Just give a longer load screen or something. it's just dumb",Negative,Neutral,Negative
"This, to me, is a really fun game. The fundamentals are there. I feel like pay to win hasn't hit me yet, but maybe it will. My only big complaint is that leveling up takes waaaaay too long. Experience rates should be almost doubled, or it's just unnecessary grinding. I'm Currently level 25 and there is content locked behind levels that I can't access yet but the game has become repetitive to a grind. So either introduce the new content at a lower level or give more Experience. Thank you!",Neutral,Neutral,Positive
"Far too difficult and takes far too long to unlock a single thing. Not the fun kind of hard either, the kind of hard that makes it tedious and pointless as unlocks are very far between and the rewards you get at every level are very small and not worth while. You don't really gain good power until about 40 levels in and you're designed to constantly fail so getting to level 40 takes forever. Not a good game design.",Negative,Neutral,Negative
"Winning in a match is 100% based on the luck of the draw. It doesn't matter what gear you have or skills you choose. If you don't just happen to draw the perfect skills primarily during the first 10 waves, you might as well quit the match and then hope for a better draw the next time.",Positive,Positive,Positive
"Solid 4 star game. Lots of fun, satisfying victories. The only reason I'd say not a five star is some content takes a TON of grinding or paywalling to get to, like timed event completions. But, everything is accessible eventually. Solid game, performs well, interesting multiplayer setup, lots of ways to grow. Well worth the download.",Positive,Positive,Positive
"Update: The game's a cash grab that keeps you reliant on spending by rendering builds pointless. Your core abilities operate in match based on a percentage chance mechanic. They reinforce this by making unlocking core abilities mandatory, since it adds to a crit multiplier. There's no feature to toggle core abilities inactive, making it a strong-arm approach to force players to shoot themselves in the foot. Not to mention difficulty scaling is quick to heavily punish F2p'ers, to incite spending.",Negative,Negative,Negative
"If you like games with a tolerable art style and some cool looking abilities, if you're lucky enough to get them as you constantly feel the RNG is rigged against you to never give you what you need when you need it, with no tech tree display to tell you what your upcoming options, as you hit your paywall extremely quickly, then this game is for you!",Neutral,Neutral,Neutral
Playing coop i die and my partner (ie wife) sitting next to me gets perfect clear in same game in elite modes and global rescues it has immense sync issues and makes no sense. Game also forces you to play with people 10% less power then you to recieve torch medals rather then encouraging to play with anyone for rewards. The game needs a list to show you possible upgrade synergies/combos. As well as more build diversity. It is a fun game but could be much better with optimization/features,Neutral,Neutral,Neutral
"Played the game for 30 minutes and can no longer access it. The offer pops up and will not go away. Response to SPGAME: I can't reply back to you, so this will have to do. I can not access ANYTHING in game. I see short code for all of the buttons, then they go back to normal. I can't do ANYTHING inside of the game. The 'x' does not work and neither does the button to purchase the pop-up offer.",Negative,Negative,Negative
"The gameplay matches what's advertised, even if it is a bit exaggerated. On top of that I haven't run into any mandatory adds. Those two things by themselves earns at least 3 stars. The gameplay earned the next two stars. The only nitpick I have is that there isn't an ""infinite"" mode where you can see how long a build survives outside of the 20 level cap.",Neutral,Neutral,Neutral
"Game is neat and has a lot of potential to be a fun game to kill time, however every time the app closes and I reopen it I am unable to click off any on the pop ups to be able to get to the base game so it's unplayable to me anymore. These include pop ups to try and get me to purchase items and my idle earnings.",Negative,Negative,Negative
"Better than similar games. There's just some parts of the game that are confusing with no explanation. For example, there's mentions of ""thunder resistance/damage"", but no thunder weapons. You assume it means lighting, but then there's separate ""electro resist/damage"" and electro weapons. Then the 7 day challenge tasks you with ""reset 1 piece of gear"", but no explanation on the effects it'll have. Not even google/reddit had answers for me.",Neutral,Neutral,Positive
"Great theory, horrible execution. The game devs are greedy and want you to pay heavily to progress. You don't get enough food to play for more than a half hour a day and you can not clear levels consistently unless you pay money. It's like playing craps with zombies. One run you get the perfect cards next run on the same level you get decimated, doesn't make for a fun experience especially when you get limited amounts of tries per day without paying more money.",Neutral,Neutral,Negative
"reward system is awful. stage 1 and stage 8 have very similar rewards, not much of a difference. been playing for about a week and stuck on stage 8. lvl 25. very repetitive. doing the same level over and over until I can get enough xp or recorces to continue on to the next stage...",Negative,Negative,Negative
If you are into skill based games this will not be for you its all luck of the draw can't aim or activate skills on your own the computer aims at enemies that are not a threat and getting perfect clears would be more acceptable if you could control even the gunner had situation where i made it to thee end almost perfect but the aim will start shooting down field while zombies attack with no way to redirect aim,Negative,Positive,Negative
"Really enjoying the game, but the timer on Stamina needs to be lowered. I went like 8 hours once without playing, and still wasn't full. Id like to switch servers without restarting, so I can be in a clan with my friends. More things to do with friends would be nice. Other than that, I really like the game. Stop hiding no ads behind a monthly subscription, and get rid of the multiple battle pass, if you purchase monthly card, Battle passes should be free. Remove the pix in google, not in game.",Neutral,Neutral,Positive
The game is so basic you can't do any real aiming it's the same as any other dungeon shooter but you can't run to our move the enemy 😐 the game is a shameful remake of some games with better control. I only played 4 games maybe in if you play now you can get skills or something but what I played was a total disappointment,Neutral,Neutral,Negative
*** can we get rid of the congratulatory announcement banner. It gets in the way.*** Great game no forced ads like other greedy devs out there. The rewards are ok. I think the armor needs to have merge capabilities as well. I now have a bunch of armor that I can only decompose (deconstruct) but better if we had both merge and deconstruct with gems as well. overall gameplay is great. Sometimes RNG is brutal. Awesome job fellas.,Positive,Positive,Positive
"As I'm a person who started playing for free it is imo pretty addicting to see your guns/skills kill zombies and the little events and missions to do are fun. It's by no means a game for adventures it's a idle game with abilities for you to unlock. Most of the stuff is completely free, you could get absolutely lucky for chest drops from the diamonds you earn in mission for perfect clear. You could do that until a certain point then you might need to spend a little. Just like every other game",Positive,Positive,Positive
Ever since the update there has been moments where I can't play an ad at all cause none are available no matter how many times I clear my cache. even deleted and downloaded it again. I can play one to three ads before it stops letting me. The game is rather fun but wish you could get more diamonds without paying so you can enjoy the events going on.,Neutral,Positive,Neutral
The skills in this game are so bad at targeting. The tornado doesn't hit large groups at all. The beam goes after the enemy on the very edge almost every time which totally ruins the game.,Negative,Negative,Negative
It's not the worst game but the auto aim for the game is just bad and way to much rng in the game to be fun. I can see my laser go through 1 enemy instead of just shooting straight in which it would hit about 20 it chooses 1 over 20 so many things the game does to make it impossible to win,Negative,Negative,Negative
"Your character is tied to a server. If that server is full, you cannot play with your character, and are forced to make a new character on a new server and start from scratch if you want to play the game. Servers are near constantly full. One of the worst design choices for a game ever.",Negative,Negative,Negative
"Eventually you will get stucked at certain stage and you will need to dump in $$$ to clear the stuckage. Events will rip you at maximum $$$ for minimum rewards. Every server, players quit the game at an alarming pace then they will merge the servers very quickly leaving only the top reloaders pitting against one another for meaningless pvp events. Not recommended.",Negative,Neutral,Negative
"very bad, can't log in to the account i had, contacted customer support, was told to try different networks, and ofc it didn't change anything I was told to buy vpn to try from a different country, laughable and unacceptable that the customer support is that bad.",Negative,Negative,Negative
"The game is addictive, until you hit the wall in lvl 12 or so. In order to progress you will have to spend $, and the in-game purchases are overpriced. Gets boring if you don't want to expend $, cause you have to replay older levels in order to get a little bit of progress. It's a pay to progress game. Edit: Had to lower the stars, it's frustrating that you upgrade just to notice that it does nothing. You get stuck on a lvl and take a long time to be able to progress, just to get stuck again.",Negative,Negative,Neutral
The game is good but becomes too grindy way too fast. Even money which you need for a lot of stuff is hard to obtain. Another problem is stages don't offer much rewards for the difficulty they have and some are unnecessary difficult (rigged I'd say to lose) you could perfect clear the previous and next stage is so hard that you can't clear at all. Another minor issue is for a lot of stuff you have to find another player to help and you can't actually search for guild unless you have an invite .,Neutral,Neutral,Neutral
"Took me a month to save up 3K diamonds and ended up spending everything on an event all to get a useless claw fort that picks up mobs and just randomly put them back on field. Alot of char, guns and merc are locked be paying. Way too grindy and pay to win. Stuck on stage 30 for 1 week now and couldn't progress. In order to pass the stage, each skill up must has be a perfect roll and also in the correct sequence. To much variables for one single stage. I will not be back until they fix the game",Negative,Neutral,Negative
"With the latest update to the game, for some reason it's pasting from my clipboard when first loading up. Does not happen every time, but I have noticed it more than once. Why??",Positive,Positive,Neutral
"Don't spend any money in this game. Especially you reach stage 60! U can get the good combo, when u get fire extra u won't get explore or others combo. You must spend money otherwise you cant pass the stage. Cheat! They already set inside the system! I am going to uninstall this game",Neutral,Neutral,Negative
"At first it's a funny & addictive game but nearly at lvl 18 & higher it's a pay to win game. Bonuses, passives, gears are too rare to get so the game designed to motivate its users to pay money for proper achievements which is unfair. Personally I stopped playing that much that I used to. The upgrades for gears especially the gun isn't reasonable & senseless. If it goes this way I'm sure many players will abandon the game & that would be a great shame.",Negative,Positive,Negative
"This game is pure pay to win. Everything you need to advance is out of reach. Events aren't long enough to get anything useful. Also, many events require real currency. Gold shovel event forces you to spend diamonds or real dollars. Gun upgrades, Skin upgrades, drone upgrades, etc... requires you to spend. Otherwise you just are grinding for weeks just to pass the next stage.",Negative,Positive,Negative
"The game is pretty solid for the most part, but you all need to do way better in regards to being more giving to your f2p base, they really have nothing to work towards and everything is focused on those who have money to freely spend. There needs to be events for f2p as well so they can have something to work towards, new outfits, guns, things of that nature. Also, please grant us a version that is completely offline, with laxed methods on getting resources, thank you for reading!",Positive,Positive,Neutral
"was a decent game until i came across a game breaking bug. was playing ruined park on expert, game gave me a skill past lvl 20 but no pictures or options. everytime i try to load back in, it doesnt the same thing. i dont think its fair for me to restart the whole mission because of it.",Negative,Neutral,Negative
"Game is fun early on until it become PAY to progress later on. Event is all gem sinker u literally have to pray to the gacha god. Dev don't intend to make this game fun for the player. If u get no core or skin, u can kiss ur account goodbye. Grinding is omega tedious and lvl up reward is abysmal. There is no incentive for progression. U can't farm gem as it limited to progression. 1 day u only get like 50 gem from daily mission. For ppl who is looking for a fun game, stay away from this game.",Negative,Neutral,Negative
"It's fun for a short time, then the difficulty takes a huge jump around level 10 where you'll be grinding the same level for days before you can improve your character enough to get past it. That is, unless you spend a ton of real money.",Neutral,Neutral,Neutral
"Pretty rough money grab. A copy of a copy with retextures. Edit: I will amend my comment but not rating. After several months and hundreds of dollars I've determined the creators didn't expect this game to do so well. So, updates from this company that doesn't care about the longevity or quality of this game are coming, but only as long as it's profitable. In my mind, the money spent here was worth it just to see for myself how this kind of operation is successful. It's all such a waste though.",Negative,Neutral,Negative
"*** Thank you for fixing my complaint. Now my screen is locking all weapons and Vanguard skills in multiplayer after level 10. I can't acquire new weapons or aim, however, I can still send messages. I have spent many $ hundreds with you, and to have my abilities cut off half way through, it's costing me games, and it sucks. This game is the only game on which I have spent more than $5, ever, and I'm 52. For this, money is not a prerequisite, but you'll have to grind, just like everything else.",Neutral,Neutral,Negative
"Once you get to level 30 your gum won't do any damage and also they don't reward you with a way to upgrade your gun, they have events and if you don't spend at least 100$ or more you won't get a single upgrade. It's a fun game until around lvl 30.",Neutral,Neutral,Neutral
"Been playing for close to 4 months now. Not too bad. You can grind most things, but if you do pay, you're going to pay a LOT. The recent updates have left the game buggy. Have tried to contact customer service, but have just been ignored.",Neutral,Negative,Neutral
Beware people if you wanna have fun casual game THIS IS NOT IT. they want to much money. Stuck on levels for weeks on end. Pay for monthly cards that give you 100 quick raids per day but still get no better. Cmon people I have given you plenty of money on two months of playing. Do better. Unclutter this mess and make fun and playable. Uninstalling until these money grabbers make it less cluttered and more fun.,Negative,Neutral,Negative
Gambling on trying to pick an upgrade is so stupid and very lazy for the creators I don't know why they even put that option if you're going to do it make sure you can choose a right one a better one and if it's paid to win then you don't deserve to make games then just saying anyone who reads this I suggest you find a different game because if you're going to play it be ready for the most boring laziest thing ever no excitement just one ways it's not like the game developers tried,Negative,Neutral,Negative
"***Update*** So My account was banned for not getting the purchased items and having google refund me. After getting the runaround all day, I've decided that this game is no longer worth the time or money. Uninstalled. *** Made it worse with the same basic reaponse from the developer, and its several days late as well. Yeah, these guys don't care about the players, only their money. Definitely reccommend playing a different game. 0 Stars.",Negative,Negative,Negative
This used to be fun but has turned into little more than a money grabbing whale hunt of a game. Many players have left and the servers merged down into remaining mega whales. Spending hundreds won't get you anywhere near competitive so don't bother. Literally as I write this there is yet another massive server merge notice since so many are leaving.,Negative,Positive,Negative
"Character is way under powered, no explanation how to get stronger or aquire stronger gear. It's a money pit. I like the way the game plays but is to frustrating to keep playing when it moves so slow and can't get past lvl 16 without spending hundreds. And the rng is garbage.",Negative,Negative,Negative
"Don't waste your time. The manufacturer cheats. Had the perfect set up and was winning no problem, then the boss slowed down and time ran out. Was spending money on this game but no longer. Great job guys.",Negative,Positive,Negative
"Unfairness and imbalance in the game system, spent 5 digits in game but end up very unhappy with how developers are updating the game mechanics. Utterly disappointing after the updates and when the same gems setting in game gets so much weaker. Wished I have never started the game and never pay to play in this.",Negative,Negative,Negative
"Connection very buggy, grind gets monumental too fast, p2w game, can do f2p but must be a masochist, its not bad just it becomes a timesink fast looses all the fun as without spending its really just a frustrating gring with no fun, as all nice thing are heavily paywalled if it was cheaper fine expect to see ads forever as there is mo permanent way to take off as add ticket only lasts a month",Negative,Positive,Negative
"Don't download. Ads everywhere. The games ads look very fast but in reality it slow and time consuming for small reward. Not worth no spend time for this. Again, don't download or support game like this.",Negative,Negative,Negative
Awful!!! No skill involved!!! It's just a random lottery that is designed to keep failing you so you keep playing pointlessly!!! You upgraded items/Skills may never even show up or if you lucky maybe just the ones out of 20!!! Awful game,Negative,Negative,Negative
After spending money for a spin and not getting the prize it landed on was total BS smh took a screenshot of it too before it was removed. Can someone help?,Negative,Neutral,Negative
"The worst about this game: - U can't send everyone energy and get therefore barely send any - Pay to win is next level. Unreasonable prices - The speed of waves is horrible - Time spend = progress gained = slow, painful , unrewarding - Guilds are unrewarding - needs serious luck sometimes to progress, rng is meh Needs some serious balancing. Needs events that make u return because u gain progress. Definetly needs a better friendship system, better guild system. played for a few weeks",Negative,Negative,Negative
"Exactly what I wanted! Yes, it's a bit grindy and pay to win is an option but honestly the depth of gameplay, upgrade options and game design are fantastic. Brilliant",Positive,Positive,Positive
If you get a plus 1 to your skills the other one goes to space make the skills got to the front where you need them to that's my only complaint.... Why does it feel like I got way weaker can't do the things I used to at all I know I'm not the only one.... I meant to rate four stars,Positive,Negative,Positive
"This game suffers from a serious problem, like all other similar games. When you level up, you can pick one of three random upgrades. But as you unlock new weapons, the upgrade pool is severely diluted, and the chance of getting the upgrades you want is greatly reduced. There are too many trashy skills and upgrades in this game, and eventually the game becomes an exercise in frustration as you rely on RNG to get the upgrades you want and repeat the same old levels over and over again.",Negative,Neutral,Negative
"Game is very useful to spend time it's a simple one player game and the game has awesome graphics, characters. Y'ALL NEED GET THIS GAME AND PLAY IT FOR WHILE HAS LOTS OF OPTIONS. Add more fire power other types of weapons keep updating the game guy.",Positive,Neutral,Positive
"This game real money currency is broken. They have to fix Usd>Try currency. 14.99 US dolar pack shows up 737.49 Turkish lira instead of 511.01 Turkish lira. Other packs are have this extreme numbers. 1 USD is not 49.19 TRY. Dear devs you can not earn money from Turkish players with this extreme currency charge. On other games everything is normal but on this game, the numbers are totally rip off attempt.",Negative,Negative,Negative
terrible. they advertise a promo code but it doesn't exist. completely pay to win. avoid this game.,Negative,Negative,Negative
"UPDATE: The grind is REAL!!! Unless you are willing to buy ridiculously expensive bundles you will need the patience of whatever saint your chosen religion prays to. It is VERY slow to level up your character, skills and gear without buying bundles with gems. In game rewards of gems are definitely not balanced compared to the cost of shop items. Everything is designed to almost force you to pay to win. That being said, If you can hold out paying it's a fun time waster of a game.",Neutral,Neutral,Negative
I tried to change the server before putting the new character but it won't let me so I'm extremely disappointed,Negative,Negative,Negative
I still would like to view the elites and bosses that will appear in each stage please. Why didn't the monsters I encountered in abyss mode unlock in the research? And shouldn't the boss I also met be stopped from damaging my base? Is it a bug or something? And shouldn't it say results after completing each trial? When will you respond?,Positive,Negative,Neutral
"Unbalanced game with really frustrating RNG that works against the player. On stages where enemies are weak to fire it is quite common to not give you any fire skills until turn 10 which is half-time. And you only get one chance to reroll the skills given, but you might get the same unwanted skills. Starting from stage 20 the enemies become bullet sponges and come in hordes, that only a few skills are effective.",Negative,Negative,Negative
"Rating 3 just for addiction, otherwise 2, simply for the fact the developers are either sadistic and enjoy players struggling to cross scene/lvl or the brains behind are, and you HAVE to pay to progress. Un-installed post being stuck in scene 45 for 2 weeks despite reaching lvl 66. FTP, but give us a break sometimes. If you are not willing to shell out $, please dont waste time here. The in-game upgrades are as pathetic as it can get, what you need to cross the scene always comes too late",Negative,Negative,Neutral
"Based on what they're currently advertising, a lot of it you cannot do. Aesthetics customization is extremely rare. That includes your weapon and your character. There's no free skins or premium skins. It doesn't really make sense to advertise customization if you don't have these options. You can only upgrade items and skills. The language is inconsistent in some parts. Hopefully, they hire someone to look through that. It's frustrating. My experience is dull. I wouldn't recommend it right now.",Neutral,Neutral,Negative
"I can't email their ingame customer support, it keeps saying ""enter a correct email address"" BUT I AM, tried two different ones even. I'm trying to add my friend but it just says ""character not found"" when I search his name, and surely it can't be because he's on another server right, because the list shows people from different servers. Either way you'd have to start the game from scratch if you wanted to swap servers! Fix your ingame customer support.",Neutral,Neutral,Negative
"Torn on this one. It's fun and engaging, but beyond a certain point the upgrades slow down so it becomes a slog, even with all the variation within the game. Lots of different play modes/upgradeables can't mask when trying to advance in the main gameplay grinds to a near halt. I'll still keep playing, but can feel my interest waning with each repeat of a level. You can level up quicker, but that involves spending money, which... Meh. Spending money to advance is, to me, a sign of bad dev.",Negative,Neutral,Negative
"Decent game but horribly unbalanced once level 5 or so. Bullet upgrades and APC are the only ones worth getting. Without them, your just overwhelmed, firing at a snails pace and 10 or so shots to kill the most basic enemy, with 60 plus enemies on the field. EDIT - I just told you the issue. You report it. It's your game. Auto responses are worse than no response. Minus one.",Neutral,Negative,Neutral
"Terrible controls. The game spes through the tutorial level, which was nice, but was definitely unintended as it was happening during an 'update'. The game is also a definite clone of Doodle Wizard from the abilities to the damage and skull progression - as for security well, let's just say you should avoid giving the game anything more than a burner email. I accidentally used my normal one and I'm suddenly getting targeted by emails about deliveries that I'm missing.",,,
"I do like the potential i am seeing im this game, but a handful of things worries me for the long run. One being the painfully obvious rigging of the runs contra ""perfect clears"" objectives, i know it's supposed to be randomized, but this is Candy Crush-style ""you will fail this run, period"" rigging from time to time. My othee concern is overall meta progression between levels, it feels very limited and wirhout any real impact. i'll keep playing, but we'll see if it remains.",,,
